- M: CTNet - D: IMDB-BINARY(1000) - Train_split: 800 - B: 64 - Centers (if CTNet): 20 - LAP (if GAPNet): laplacian - Classes 2 - Feats 1
Epoch: 008, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 009, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 010, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 011, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 012, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 013, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 014, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 015, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 016, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 017, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 018, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 019, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 020, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 021, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 022, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 023, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 024, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 025, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 026, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 027, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 028, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 029, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 030, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 031, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 032, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 033, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 034, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 035, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 036, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 037, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 038, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 039, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 040, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 041, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 042, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 043, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 044, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 045, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 046, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 047, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 048, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 049, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 050, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 051, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 052, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 053, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 054, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 055, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 056, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 057, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 058, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Epoch: 059, Train Loss: nan, Train Acc: 0.512, Test Loss: nan, Test Acc: 0.450
Result of run 2.000 is 0.450
Epoch: 001, Train Loss: 37.352, Train Acc: 0.492, Test Loss: 14.633, Test Acc: 0.425
Epoch: 002, Train Loss: 36.342, Train Acc: 0.516, Test Loss: 14.150, Test Acc: 0.570
Epoch: 003, Train Loss: 36.363, Train Acc: 0.566, Test Loss: 14.026, Test Acc: 0.560
Epoch: 004, Train Loss: 36.223, Train Acc: 0.616, Test Loss: 14.083, Test Acc: 0.675
Epoch: 005, Train Loss: 36.174, Train Acc: 0.647, Test Loss: 13.963, Test Acc: 0.675
Epoch: 006, Train Loss: 36.235, Train Acc: 0.635, Test Loss: 13.927, Test Acc: 0.650
Epoch: 007, Train Loss: 36.235, Train Acc: 0.615, Test Loss: 13.964, Test Acc: 0.520
Epoch: 008, Train Loss: 36.194, Train Acc: 0.630, Test Loss: 13.901, Test Acc: 0.660
Epoch: 009, Train Loss: 36.166, Train Acc: 0.652, Test Loss: 13.949, Test Acc: 0.600
Epoch: 010, Train Loss: 36.216, Train Acc: 0.630, Test Loss: 13.974, Test Acc: 0.650
Epoch: 011, Train Loss: 36.179, Train Acc: 0.652, Test Loss: 13.877, Test Acc: 0.685
Epoch: 012, Train Loss: 36.125, Train Acc: 0.657, Test Loss: 13.896, Test Acc: 0.685
Epoch: 013, Train Loss: 36.061, Train Acc: 0.675, Test Loss: 14.047, Test Acc: 0.680
Epoch: 014, Train Loss: 36.078, Train Acc: 0.656, Test Loss: 13.920, Test Acc: 0.655
Epoch: 015, Train Loss: 36.063, Train Acc: 0.664, Test Loss: 13.897, Test Acc: 0.700
Epoch: 016, Train Loss: 36.058, Train Acc: 0.661, Test Loss: 13.935, Test Acc: 0.715
Epoch: 017, Train Loss: 36.027, Train Acc: 0.691, Test Loss: 13.894, Test Acc: 0.690
Epoch: 018, Train Loss: 36.045, Train Acc: 0.682, Test Loss: 13.954, Test Acc: 0.705
Epoch: 019, Train Loss: 36.021, Train Acc: 0.693, Test Loss: 13.887, Test Acc: 0.690
Epoch: 020, Train Loss: 36.040, Train Acc: 0.674, Test Loss: 13.889, Test Acc: 0.710
Epoch: 021, Train Loss: 36.029, Train Acc: 0.677, Test Loss: 13.872, Test Acc: 0.690
Epoch: 022, Train Loss: 36.023, Train Acc: 0.694, Test Loss: 13.949, Test Acc: 0.690
Epoch: 023, Train Loss: 36.035, Train Acc: 0.686, Test Loss: 13.869, Test Acc: 0.680
Epoch: 024, Train Loss: 36.040, Train Acc: 0.675, Test Loss: 13.894, Test Acc: 0.700
Epoch: 025, Train Loss: 36.014, Train Acc: 0.680, Test Loss: 13.893, Test Acc: 0.665
Epoch: 026, Train Loss: 36.016, Train Acc: 0.682, Test Loss: 13.891, Test Acc: 0.680
Epoch: 027, Train Loss: 36.013, Train Acc: 0.689, Test Loss: 13.912, Test Acc: 0.710
Epoch: 028, Train Loss: 35.998, Train Acc: 0.684, Test Loss: 13.964, Test Acc: 0.695
Epoch: 029, Train Loss: 36.029, Train Acc: 0.680, Test Loss: 13.860, Test Acc: 0.670
Epoch: 030, Train Loss: 36.044, Train Acc: 0.672, Test Loss: 13.876, Test Acc: 0.650
Epoch: 031, Train Loss: 36.062, Train Acc: 0.681, Test Loss: 14.025, Test Acc: 0.695
Epoch: 032, Train Loss: 36.060, Train Acc: 0.661, Test Loss: 13.905, Test Acc: 0.650
Epoch: 033, Train Loss: 36.026, Train Acc: 0.703, Test Loss: 13.853, Test Acc: 0.675
Epoch: 034, Train Loss: 36.017, Train Acc: 0.684, Test Loss: 13.846, Test Acc: 0.680
Epoch: 035, Train Loss: 36.023, Train Acc: 0.679, Test Loss: 13.874, Test Acc: 0.710
Epoch: 036, Train Loss: 36.073, Train Acc: 0.647, Test Loss: 13.969, Test Acc: 0.625
Epoch: 037, Train Loss: 36.106, Train Acc: 0.642, Test Loss: 13.898, Test Acc: 0.730
Epoch: 038, Train Loss: 36.023, Train Acc: 0.674, Test Loss: 13.881, Test Acc: 0.710
Epoch: 039, Train Loss: 36.026, Train Acc: 0.699, Test Loss: 13.862, Test Acc: 0.675
Epoch: 040, Train Loss: 35.987, Train Acc: 0.694, Test Loss: 13.835, Test Acc: 0.690
Epoch: 041, Train Loss: 35.985, Train Acc: 0.672, Test Loss: 13.822, Test Acc: 0.710
Epoch: 042, Train Loss: 36.050, Train Acc: 0.671, Test Loss: 13.898, Test Acc: 0.685
Epoch: 043, Train Loss: 36.015, Train Acc: 0.677, Test Loss: 13.833, Test Acc: 0.715
Epoch: 044, Train Loss: 35.974, Train Acc: 0.705, Test Loss: 13.870, Test Acc: 0.685
Epoch: 045, Train Loss: 35.990, Train Acc: 0.693, Test Loss: 13.839, Test Acc: 0.705
Epoch: 046, Train Loss: 35.967, Train Acc: 0.690, Test Loss: 13.817, Test Acc: 0.705
Epoch: 047, Train Loss: 35.962, Train Acc: 0.675, Test Loss: 13.822, Test Acc: 0.705
Epoch: 048, Train Loss: 35.986, Train Acc: 0.675, Test Loss: 13.840, Test Acc: 0.680
Epoch: 049, Train Loss: 35.991, Train Acc: 0.681, Test Loss: 13.768, Test Acc: 0.695
Epoch: 050, Train Loss: 36.002, Train Acc: 0.684, Test Loss: 15.037, Test Acc: 0.655
Epoch: 051, Train Loss: 36.282, Train Acc: 0.616, Test Loss: 13.899, Test Acc: 0.600
Epoch: 052, Train Loss: 36.496, Train Acc: 0.647, Test Loss: 13.716, Test Acc: 0.620
Epoch: 053, Train Loss: 36.258, Train Acc: 0.645, Test Loss: 13.823, Test Acc: 0.640
Epoch: 054, Train Loss: 36.076, Train Acc: 0.621, Test Loss: 13.926, Test Acc: 0.605
Epoch: 055, Train Loss: 35.999, Train Acc: 0.656, Test Loss: 13.837, Test Acc: 0.690
Epoch: 056, Train Loss: 35.996, Train Acc: 0.681, Test Loss: 13.761, Test Acc: 0.685
Epoch: 057, Train Loss: 35.986, Train Acc: 0.714, Test Loss: 13.939, Test Acc: 0.700
Epoch: 058, Train Loss: 35.978, Train Acc: 0.700, Test Loss: 13.844, Test Acc: 0.720
Epoch: 059, Train Loss: 36.024, Train Acc: 0.677, Test Loss: 13.815, Test Acc: 0.695
Result of run 3.000 is 0.695
Epoch: 001, Train Loss: 39.642, Train Acc: 0.496, Test Loss: 13.713, Test Acc: 0.600
Epoch: 002, Train Loss: 37.317, Train Acc: 0.470, Test Loss: nan, Test Acc: 0.600
Epoch: 003, Train Loss: 36.843, Train Acc: 0.506, Test Loss: 14.618, Test Acc: 0.585
Epoch: 004, Train Loss: 36.532, Train Acc: 0.519, Test Loss: 15.801, Test Acc: 0.470
Epoch: 005, Train Loss: 36.335, Train Acc: 0.566, Test Loss: nan, Test Acc: 0.610
Epoch: 006, Train Loss: 36.344, Train Acc: 0.524, Test Loss: 15.376, Test Acc: 0.440
Epoch: 007, Train Loss: 36.305, Train Acc: 0.557, Test Loss: nan, Test Acc: 0.550
Epoch: 008, Train Loss: 36.259, Train Acc: 0.589, Test Loss: 13.822, Test Acc: 0.675
Epoch: 009, Train Loss: 36.256, Train Acc: 0.591, Test Loss: 14.347, Test Acc: 0.605
Epoch: 010, Train Loss: 36.235, Train Acc: 0.621, Test Loss: nan, Test Acc: 0.680
Epoch: 011, Train Loss: 36.255, Train Acc: 0.615, Test Loss: 13.847, Test Acc: 0.655
Epoch: 012, Train Loss: 36.255, Train Acc: 0.608, Test Loss: 13.787, Test Acc: 0.650
Epoch: 013, Train Loss: 36.233, Train Acc: 0.615, Test Loss: 14.685, Test Acc: 0.520
Epoch: 014, Train Loss: 36.233, Train Acc: 0.644, Test Loss: nan, Test Acc: 0.630
Epoch: 015, Train Loss: 36.212, Train Acc: 0.625, Test Loss: nan, Test Acc: 0.665
